,unnamed: 0,unnamed: 0,mth_day,bad ending,bad ending_norm,bad ending_ravg
76,76,76,03-17,2.834502915764632,-0.4517762361200216,0.3908076105175701
77,77,77,03-18,2.8463594941327166,-0.4247601114820441,0.2494901660395511
78,78,78,03-19,3.4687336241979883,0.99336715485953,0.36374329035668795
79,79,79,03-20,2.8226342215669704,-0.4788199676064331,0.33645217228594754
80,80,80,03-21,3.719345193037903,1.56440486652542,0.4701456269479258
81,81,81,03-22,3.391022912081453,0.8162973275392307,0.5390134844500142
82,82,82,03-23,3.186547543276764,0.35038449185184783,0.2475789838889381
83,83,83,03-24,3.0277038935513687,-0.011552966469513495,0.3537570327857144
84,84,84,03-25,2.7013217082323924,-0.755239848506927,-0.08738508121516379
85,85,85,03-26,3.1022246605180634,0.15824832577422493,-0.1529778346387268
86,86,86,03-27,2.557719804599792,-1.082447817479849,-0.14112003164504766
87,87,87,03-28,3.2183025907697136,0.4227408069978527,-0.05906957705890985
88,88,88,03-29,3.217771778214641,0.4215313098139229,0.16977176081464876
89,89,89,03-30,3.243761005659138,0.4807497610473132,0.12002087605438415
90,90,90,03-31,3.3039118930306195,0.6178081787344247,0.22187814314223012
91,91,91,04-01,2.9712195059418063,-0.14025698278736265,-0.03500045595598573
92,92,92,04-02,2.8259326632023782,-0.4713042149527729,-0.016995938007227526
93,93,93,04-03,2.5418840558158977,-1.1185307875914428,-0.14182498943229718
94,94,94,04-04,3.2651816819442714,0.5295584175064721,-0.07162395008541123
95,95,95,04-05,2.915058325167112,-0.2682245475031049,-0.19606245078639736
96,96,96,04-06,3.4887668570251096,1.0390144148157403,0.057266164161463476
97,97,97,04-07,2.643545232446459,-0.8868879869932792,0.13587473258910468
98,98,98,04-08,3.493003299629332,1.048667474734392,0.24434150917599484
99,99,99,04-09,2.748877915472972,-0.6468793770255955,0.3903253702915732
100,100,100,04-10,3.550798850395174,1.1803590770278132,0.26631513705669824
101,101,101,04-11,3.299466328828584,0.6076786191903654,0.30373699989859365
102,102,102,04-12,3.1622203071042927,0.2949530154064908,0.2514373125084656
103,103,103,04-13,2.742085327758484,-0.662356809941907,0.0780451261473441
104,104,104,04-14,3.3552865803418417,0.7348693503936238,-0.2363770016509459
105,105,105,04-15,2.2922976900958267,-1.6872324951923243,-0.509104622422615
106,106,106,04-16,2.72285539465769,-0.7061736897619266,-0.7596036898511919
107,107,107,04-17,2.5813137916712243,-1.0286871054396491,-0.6695547627572552
108,108,108,04-18,2.5026004991788,-1.2080413891649702,-0.6520506296301021
109,109,109,04-19,2.979204198512503,-0.12206324737828772,-0.4038880695250584
110,110,110,04-20,3.4013788594459418,0.8398941491565421,-0.12402154370559808
111,111,111,04-21,2.9457649541105333,-0.19825713456206234,-0.1286480095272408
112,112,112,04-22,3.4598062579915143,0.9730254651548352,0.11522950759245255
113,113,113,04-23,2.569131277269185,-1.0564459003695053,0.1923246158607312
114,114,114,04-24,3.1447842911232757,0.2552237135531898,0.06276643275870092
115,115,115,04-25,3.182212780659886,0.34050740223138376,0.34649928552103626
116,116,116,04-26,3.060223322500466,0.06254505054436094,0.05021917340163736
117,117,117,04-27,3.692896716964726,1.5041399820119494,0.2680117068703717
118,118,118,04-28,2.679634768115354,-0.8046552075615581,0.269879969361056
119,119,119,04-29,3.142627500504484,0.25030930044290084,0.2691045373014462
120,120,120,04-30,3.1497038421535835,0.2664332884972957,-0.003613859247571136
121,121,121,05-01,3.1801708954286565,0.3358548098737244,-0.4169943523370317
122,122,122,05-02,2.342095074774744,-1.5737653287497428,-0.17396257310118166
123,123,123,05-03,2.604373856377385,-0.9761429765248141,-0.3030046827369561
124,124,124,05-04,3.319591543942673,0.6535354678535426,-0.5112530257253636
125,125,125,05-05,2.8028308998783382,-0.523943357371746,-0.3731888036648608
126,126,126,05-06,2.6013395970771755,-0.9830567694331492,0.09599266629486218
127,127,127,05-07,3.5437247264739464,1.1642401422367412,0.06446360379386079
128,128,128,05-08,3.577554329269867,1.2413234910085946,0.13424573913895976
129,129,129,05-09,2.5213508161542464,-1.1653173515308224,0.16702916375557872
130,130,130,05-10,3.503343440448592,1.072228279924136,0.4052440344159825
131,131,131,05-11,2.8891569547843905,-0.3272428096720321,-0.0007589506745410146
132,132,132,05-12,3.2286123803373914,0.4462324545292731,-0.18248915324394965
133,133,133,05-13,2.4746284867486383,-1.2717777683063995,0.1617680053598312
134,134,134,05-14,3.0990182510975486,0.15094227559214274,0.09289587050855316
135,135,135,05-15,3.427856549553624,0.9002256000918627,0.2729582265409966
136,136,136,05-16,3.3219877778173466,0.6589954708164679,0.3459702847616564
137,137,137,05-17,3.3633012217469687,0.7531313265226284,0.5249783374881098
138,138,138,05-18,3.420869382785068,0.8843048038532321,0.6152227153990883
139,139,139,05-19,2.945996538408976,-0.19772945194767846,0.5010032606172781
140,140,140,05-20,3.336651787361981,0.6924085430580137,0.4252902330409944
141,141,141,05-21,3.1270912988166564,0.2149088714010008,0.4515530085493566
142,142,142,05-22,3.1226185217958027,0.20471730535876606,0.5356721513306311
143,143,143,05-23,3.4324569559947835,0.9107079795728016,1.0061589214769115
144,144,144,05-24,3.6423738114195663,1.3890196605408796,0.7676488681348328
145,145,145,05-25,4.184892938867078,2.6251911689300047,0.609100665523953
146,146,146,05-26,2.7086017223905485,-0.7386517769944582,0.5937484065666037
147,147,147,05-27,2.7095985870605963,-0.7363803442642776,0.317335593214846
148,148,148,05-28,3.082192606407688,0.11260375161466953,0.2193840224086276
149,149,149,05-29,2.7046004864164392,-0.7477689005377447,-0.10533338667655008
150,150,150,05-30,3.3844455205702584,0.8013102357035693,0.12757825367136208
151,151,151,05-31,3.3298397156773376,0.6768867144189388,0.31113692687890804
152,152,152,06-01,3.321909919690348,0.6588180650930148,0.6110902752487883
153,153,153,06-02,3.1929494354574364,0.3649716949809982,0.8127276223676154
154,154,154,06-03,3.8720365450273886,1.912323841833952,0.7358521746232701
155,155,155,06-04,3.235556507700029,0.4620551821752176,0.6920006511312802
156,156,156,06-05,3.1820153534808364,0.3400575492374979,0.5391652131803613
157,157,157,06-06,3.2143688925722818,0.4137775734669992,1.0756057999854034
158,158,158,06-07,2.9194601889976854,-0.2581945626124987,0.7276540830866196
159,159,159,06-08,4.6055169171015375,3.5836152158112498,0.6554696112490523
160,160,160,06-09,2.9558022171947638,-0.1753864595587508,0.8361710511042659
161,161,161,06-10,3.0454787244273414,0.02894835114981409,1.0579369754843506
162,162,162,06-11,3.65784247041468,1.42426618836878,1.1671281280264083
163,163,163,06-12,3.7983279385903637,1.744373119747507,0.6766851614653725
164,164,164,06-13,3.206984800591265,0.3969523526398488,0.9354797811181732
165,165,165,06-14,3.3140714090513366,0.6409574164450333,1.0058820979470522
166,166,166,06-15,3.6372660607925207,1.3773812583580538,0.9332610466805414
167,167,167,06-16,3.2308636968381292,0.4513622521230874,0.5389395360478713
168,168,168,06-17,3.4666150763190062,0.9885398807697152,0.5296496207397038
169,169,169,06-18,2.759991621515756,-0.6215559440485141,0.9377833522601547
170,170,170,06-19,3.1825223855646514,0.3412128607908438,0.6355772344609583
171,171,171,06-20,4.3887783784503105,3.08975980556774,0.9115815330529364
172,172,172,06-21,2.8414900787783286,-0.4358554484371257,0.7398325910044111
173,173,173,06-22,3.9576444561148487,2.107388043674957,0.6993597188877226
174,174,174,06-23,3.014361879018157,-0.041953771521437255,0.4949219266011464
175,175,175,06-24,2.653417539600601,-0.8643931767486452,0.020708211447140263
176,176,176,06-25,2.644192168749642,-0.8854138929286143,0.4393146669040091
177,177,177,06-26,3.140068102134783,0.2444775146437034,0.21778107178005005
178,178,178,06-27,3.943774061626129,2.075783284304088,0.3898053713793379
179,179,179,06-28,3.3742971847467653,0.7781864729312031,0.5618297322838667
180,180,180,06-29,3.4673401540472755,0.99019202607429,0.7647022860982613
181,181,181,06-30,3.1063959760600666,0.16775298867852753,0.6641834438259496
182,182,182,07-01,3.178400764230981,0.33182142995775304,0.4504987880037861
183,183,183,07-02,2.8753796140171173,-0.35863553899016715,0.3963385748817373
184,184,184,07-03,3.3810947946854286,0.7936753493711067,0.1682723858571001
185,185,185,07-04,3.2316812870370635,0.4532251941989103,0.0911236732974509
186,186,186,07-05,2.8667911087234903,-0.3782051080735329,0.06800228324903203
187,187,187,07-06,2.903246241880699,-0.2951392866793677,0.00506900543153845
188,188,188,07-07,3.117516997200364,0.1930930896672398,-0.1749404239909087
189,189,189,07-08,2.7096622839997795,-0.7362352058951286,-0.18570327869217693
190,190,190,07-09,2.9070898952689186,-0.2863812271635761,0.10009985576615517
191,191,191,07-10,3.20334029469862,0.38864806599130103,0.160064132389674
192,192,192,07-11,3.6193743841469037,1.3366136986764596,0.09398359377311394
193,193,193,07-12,3.0611455308274502,0.0646463730617451,0.23213716705032594
194,194,194,07-13,2.9435122288900124,-0.20339014203212047,-0.09914687574778462
195,195,195,07-14,3.0734513966890638,0.09268623376814347,-0.3106955877249576
196,196,196,07-15,2.0347452637202355,-2.2740854839522395,-0.6622294361951226
197,197,197,07-16,2.6462854433824368,-0.8806442058717366,-0.6614135835873048
198,198,198,07-17,2.693707506471545,-0.7725893921445307,-0.8108629060772145
199,199,199,07-18,3.063293852360095,0.06954148870865201,-0.8682383812223823
200,200,200,07-19,2.5499788939864936,-1.100086076971578,-0.17550938749846035
201,201,201,07-20,2.9223689983257235,-0.2515666171028631,-0.19879885435526004
202,202,202,07-21,3.858854912012149,1.882288478391292,0.3162897996625991
203,203,203,07-22,2.584959092699916,-1.020381007012535,0.14049841590938075
204,204,204,07-23,4.050050595951252,2.317942531962624,0.26650512336612864
205,205,205,07-24,2.600396006166252,-0.985206813810658,0.017701224433627188
206,206,206,07-25,2.881782604966944,-0.3440458322310909,-0.4178259976540212
207,207,207,07-26,2.2672129464104254,-1.7443900106978718,-0.20369792941733292
208,208,208,07-27,2.7120147839079225,-0.7308748541345986,-0.4963088029104934
209,209,209,07-28,3.1488059632357235,0.26438740240759445,-0.2784963495179233
210,210,210,07-29,3.279541028184092,0.5622772910036615,-0.20865478987099784
211,211,211,07-30,3.1739446829953666,0.32166790654476257,-0.13032671765921788
212,212,212,07-31,3.0656909788879654,0.07500352565046202,0.19992100315722566
213,213,213,08-01,2.4734681970901105,-1.274421577427192,0.23272171151085386
214,214,214,08-02,3.5816305489841147,1.2506114707640632,-0.10087239913789617
215,215,215,08-03,3.2351775300688383,0.4611916525293629,-0.055592332904234924
216,216,216,08-04,2.40111347374242,-1.4392873728888385,-0.21143386919582685
217,217,217,08-05,3.2931771771459384,0.5933483039467301,0.16143675728106469
218,218,218,08-06,2.6553255220792957,-0.8600456920990897,0.03342499936914064
219,219,219,08-07,3.455319561019329,0.9628021814341572,-0.11596782160993872
220,220,220,08-08,3.244547093812596,0.4825409232925189,0.14788726662079227
221,221,221,08-09,2.8417929762210887,-0.4351652733451133,-0.04562310569862863
222,222,222,08-10,3.095902657612508,0.14384315649554744,0.11161320539044796
223,223,223,08-11,2.783621289648188,-0.5677139299697953,-0.109484659438784
224,224,224,08-12,3.069363731419384,0.08337217443536993,0.1455308527940239
225,225,225,08-13,2.8731196645148165,-0.3637850075412346,0.1804566469847203
226,226,226,08-14,3.9160597063095963,2.0126339966893663,0.06419396038960012
227,227,227,08-15,2.9337603671267702,-0.2256105082009348,-0.12292383088370955
228,228,228,08-16,2.789757122668985,-0.5537329630751736,-0.35344155272143096
229,229,229,08-17,2.2908984910919226,-1.6904206776096533,-0.4642876997582859
230,230,230,08-18,2.462359254465096,-1.2997341565909584,-0.8785510049728408
231,231,231,08-19,2.5812370839995067,-1.0288618897623645,-0.8154783156052825
232,232,232,08-20,2.8252122048748194,-0.4729458345979634,-0.7481607847620699
233,233,233,08-21,3.099844798789716,0.15282562800441551,-0.3206388801570603
234,234,234,08-22,2.9670191668779085,-0.14982777801589794,-0.042989323192273186
235,235,235,08-23,3.4166588362073904,0.8747107500204043,0.1719756361794227
236,236,236,08-24,3.193472345287,0.3661631851977645,0.414834221393432
237,237,237,08-25,3.147287675193419,0.26092786646781063,0.42042576694357897
238,238,238,08-26,3.4647129222880566,0.9842056766860926,0.42818550547623097
239,239,239,08-27,3.1145685829524905,0.18637490130529752,0.3013171463664609
240,240,240,08-28,2.9874522858232284,-0.10326934681998612,0.18953893937892285
241,241,241,08-29,3.0825862046129853,0.11350059536178425,-0.03269639829568844
242,242,242,08-30,2.899135443436463,-0.3045060567274641,-0.3916325174895838
243,243,243,08-31,2.562092559475151,-1.072484159579857,-0.4333984032119322
244,244,244,09-01,2.519554217983877,-1.1694110384772791,-0.6550076847157213
245,245,245,09-02,3.004589708376965,-0.0642204130287933,-0.6418646050966559
246,246,246,09-03,2.4039057153685714,-1.4329250358427208,-0.6545910488664018
247,247,247,09-04,3.1171948590198486,0.19235907307617675,-0.1914489059363236
248,248,248,09-05,2.865623883967812,-0.38086471934594,-0.1452023187422372
249,249,249,09-06,3.781648921491725,1.7063686980006127,-0.06036934644971284
250,250,250,09-07,2.6413317769796625,-0.8919315153127609,-0.054514832157741666
251,251,251,09-08,3.2279738090195687,0.4447774207263528,-0.1332425879556771
252,252,252,09-09,2.4193219547678186,-1.397797950090894,0.3778593114083648
253,253,253,09-10,2.9098871524845915,-0.2800074617114359,0.18665640052935376
254,254,254,09-11,4.211468960955926,2.685746676838312,0.0017280448014284446
255,255,255,09-12,3.2781690936286187,0.5591512327265465,-0.27505460935843
256,256,256,09-13,2.1543742496027933,-2.0015016496803133,-0.06954207089685137
257,257,257,09-14,2.4991434662635443,-1.215918504232798,0.1284206931301779
258,258,258,09-15,2.960482217509948,-0.16472271932142213,-0.25305676244833936
259,259,259,09-16,3.4311671784916347,0.9077691224507396,-0.4107798363614513
260,260,260,09-17,3.2069539000431635,0.39688194336720783,0.2965588738483145
261,261,261,09-18,2.8628491294149843,-0.3871872107521256,0.5378703709985336
262,262,262,09-19,4.016954533658595,2.2425306115782835,0.6113695205727154
263,263,263,09-20,3.1345703564088536,0.2319504786685161,0.524570002048052
264,264,264,09-21,3.154021839922444,0.276272178123669,0.5122574969605381
265,265,265,09-22,3.2026047238486117,0.3869720113027595,0.4525708977941048
266,266,266,09-23,3.1745323332713697,0.32300691284212457,0.06085072562501681
267,267,267,09-24,2.705681027026283,-0.7453068057507258,-0.2747109720267321
268,268,268,09-25,2.98546811984036,-0.1077904214362444,0.0724051544521949
269,269,269,09-26,2.250961707385404,-1.7814197072419768,-0.13361721213663955
270,270,270,09-27,4.068055872169507,2.358968936997231,-0.20702043455260846
271,271,271,09-28,2.6601019701550084,-0.8491621882302471,-0.021972859556440832
272,272,272,09-29,2.981245308420713,-0.11741242165368905,-0.14362361569701873
273,273,273,09-30,3.1929524852757347,0.36497864422628,0.13878620870552927
274,274,274,10-01,2.6651345983500323,-0.8376949582797119,-0.5229910238006843
275,275,275,10-02,2.9946096420500488,-0.08696076082668902,-0.36619853699627775
276,276,276,10-03,2.3254491013092693,-1.6116944580400503,-0.4727164663210987
277,277,277,10-04,3.0729714913542097,0.09159273259619187,-0.3512569130197558
278,278,278,10-05,2.7007598886420827,-0.7565199976026146,-0.18555165224605755
279,279,279,10-06,3.5127825271268542,1.0937359640343374,-0.12721529462578648
280,280,280,10-07,3.1014734374754727,0.1565366063624776,-0.1575337564643949
281,281,281,10-08,3.148222257871573,0.2630573848949373,-0.04889368658411733
282,282,282,10-09,2.2456138421210037,-1.7936052290717006,-0.2446092133719225
283,283,283,10-10,3.3590449796232766,0.7434331518778573,-0.7128760782924665
284,284,284,10-11,2.185397338541502,-1.9308131583294457,-0.6504196593144407
285,285,285,10-12,2.2797316312993456,-1.7158652254889264,-0.9475299950626088
286,286,286,10-13,3.265935092015348,0.5312751202306327,-0.6018617688677795
287,287,287,10-14,2.3658646043654814,-1.5196046295940724,-0.666959806701668
288,288,288,10-15,3.1558352306041773,0.28040412809727555,-0.3847994514306403
289,289,289,10-16,3.1876273545873683,0.3528449248745261,-0.008501136458205234
290,290,290,10-17,2.928388365448742,-0.23785102670327946,0.1115667101708661
291,291,291,10-18,3.2706088620721747,0.541924664345684,0.2645247803613082
292,292,292,10-19,3.5821004603917284,1.2516822000050607,0.4517739593113814
293,293,293,10-20,2.768637253043868,-0.6018562084514196,0.4179474031203505
294,294,294,10-21,3.6489040021614616,1.4038992017977148,0.4955495880716542
295,295,295,10-22,3.098554502035251,0.14988558772834076,0.4245213182316405
296,296,296,10-23,3.1327321933824424,0.2277620830045425,0.3006278846546366
297,297,297,10-24,3.0835756160401973,0.11575504530560195,0.2708491448723166
298,298,298,10-25,3.2558614699707586,0.5083215985430369,0.09214833489459888
299,299,299,10-26,2.690223202176881,-0.7805286471453393,0.3003070544194865
300,300,300,10-27,3.1783449890535937,0.33169434193140834,0.1530422319399032
301,301,301,10-28,3.646682748581207,1.3988379048776662,0.42169713755966654
302,302,302,10-29,2.744951133295817,-0.6558268518729571,0.5614125599219916
303,303,303,10-30,3.7910037875789055,1.7276844790241819,0.6010196788751404
304,304,304,10-31,3.623763278983053,1.3466141327169872,0.6079320668391303
305,305,305,11-01,2.794517563287855,-0.5428859334264464,0.4941756535172108
306,306,306,11-02,3.1965468453236316,0.3731686697153476,0.4499800628286543
307,307,307,11-03,3.3471367890854014,0.7162994249461493,0.2833189443846111
308,308,308,11-04,2.628574304669693,-0.921000396004296,0.25229653203155405
309,309,309,11-05,3.3521479624247785,0.7277177683599232,0.4300899768588724
310,310,310,11-06,3.5420743613844135,1.1604796585986448,0.4665224286154943
311,311,311,11-07,3.26268728196693,0.523874735537463,0.5451459294067871
312,312,312,11-08,3.2924816009961635,0.5917633802550787,0.5944104757117463
313,313,313,11-09,3.5541699689800508,1.1880404296939064,0.3894615063091151
314,314,314,11-10,2.7582988218297384,-0.6254131181745406,0.3452695825086329
315,315,315,11-11,2.8124717024704897,-0.5019760480558644,0.2019014758805627
316,316,316,11-12,3.4257071884908723,0.8953281157957522,0.1444442852815949
317,317,317,11-13,2.8851671421619662,-0.3363339042309585,-0.17903101407868593
318,318,318,11-14,3.1411840276523595,0.24702023666127185,-0.09102798088507902
319,319,319,11-15,2.7023874972009616,-0.7528113664677787,-0.30269224761158003
320,320,320,11-16,2.990030398509475,-0.09739491901289914,-0.4538041542827891
321,321,321,11-17,2.255112569775781,-1.7719616484148706,-0.13486028230643202
322,322,322,11-18,3.02779589933153,-0.01134332423150251,-0.0119318087015556
323,323,323,11-19,3.7250173569019576,1.5773293276271845,0.4071333210703674
324,324,324,11-20,3.464882063657792,0.9845910782905304,0.5174484917033069
325,325,325,11-21,3.805879271625402,1.7615794121637598,0.9067402703928112
326,326,326,11-22,3.280514799953065,0.5644961047847377,0.8285839271449014
327,327,327,11-23,3.2802044829796486,0.5637890237221556,0.3893373888506889
328,328,328,11-24,2.8219928492421547,-0.4802813837189613,0.19802164548747456
329,329,329,11-25,2.568383441272005,-1.05814990213809,-0.1867633869959391
330,330,330,11-26,2.9611051227462344,-0.16330338188875626,-0.2057758144689986
331,331,331,11-27,2.7926546244251416,-0.5471307827367224,-0.4905915765711618
332,332,332,11-28,3.2304508460760606,0.45042153994638107,-0.15701057415355882
333,333,333,11-29,2.5302211787681546,-1.1451055488908235,0.07057427434157064
334,334,334,11-30,3.7003858867932053,1.5212046307866571,-0.023896976690973903
335,335,335,12-01,3.1676650098307886,0.30735918883268665,0.4842456996888122
336,336,336,12-02,2.7123412886120595,-0.7301308880840235,0.6134269812683381
337,337,337,12-03,4.13070740854558,2.501725275541994,0.7115441635939247
338,338,338,12-04,3.570613917411052,1.2255092294235348,0.5783154734400392
339,339,339,12-05,2.788585561614599,-0.556402454937303,0.5100834117755618
340,340,340,12-06,3.3495650876917167,0.7218324898633439,0.6244670735043022
341,341,341,12-07,2.9879948023865404,-0.10203318115417788,0.0906252239207152
342,342,342,12-08,3.0135389327942628,-0.043828917711581095,-0.1959917866676586
343,343,343,12-09,2.724982980508269,-0.7013258219595283,-0.10984553692639584
344,344,344,12-10,2.81588752496096,-0.4941928341067079,-0.3117311004999159
345,345,345,12-11,3.0154278141273165,-0.03952495648972632,-0.16741988685599735
346,346,346,12-12,2.8179554572276637,-0.4894808915777765,0.13328129907922406
347,347,347,12-13,3.3679983529084896,0.7638341007093332,0.1971768819238908
348,348,348,12-14,3.805352094198996,1.7603781978997477,0.42582934724301946
349,349,349,12-15,2.8932342738800645,-0.3179523248915277,0.5138816315893686
350,350,350,12-16,3.4179803662786123,0.8777219578080635,0.5922296508988166
351,351,351,12-17,3.2472890800559813,0.4887887495883688,0.6959795134508561
352,352,352,12-18,3.024263233055916,-0.019392775721088527,0.3996179031080572
353,353,353,12-19,3.641194836677377,1.3863332760215707,0.39736108202306025
354,354,354,12-20,3.024966001358373,-0.017791464157045887,0.4471858565354386
355,355,355,12-21,2.88729156157423,-0.331493251401509,0.4430628268326191
356,356,356,12-22,3.549180089020721,1.1766706048823334,0.3434005981416197
357,357,357,12-23,3.2364322250242936,0.4640505713714518,0.07643871403173877
358,358,358,12-24,2.761830399187872,-0.6173661478670852,-0.053521080783161146
359,359,359,12-25,2.9382247676562785,-0.2154380286377144,-0.18511416189887187
360,360,360,12-26,2.6827529313704663,-0.7975502330464455,-0.7817150782219567
361,361,361,12-27,2.540777685171804,-1.1210517380957734,-0.8984515546651192
362,362,362,12-28,1.9781970675154168,-2.402934893056176,-1.0796067015685964
363,363,363,12-29,2.9290390959409183,-0.2363682872875226,
364,364,364,12-30,2.2848085705966072,-1.704297029287949,
365,365,365,12-31,,,
